運動時間建議為每週3~5個小時。,減肥塑身,5,1,0,END
不要試圖進行節食或超強的運動量，此時期減去的大多是水分而非脂肪，且可能會導致貧血。,減肥塑身,5,1,0,END
可以選擇如太極拳、瑜珈、皮拉提斯等等輕柔的徒手運動，或是慢步、慢跑等。,減肥塑身,5,1,0,END
多吃含鎂及維生素B的食品，能讓新陳代謝變得更好。,減肥塑身,5,1,0,END
不要吃太鹹的食物以防水腫。,減肥塑身,6,1,0,END
運動頻率儘量保持在每天或隔天2小時，每星期至少保持7小時以上的運動量。,減肥塑身,5,2,0,END
可以選擇跑步、游泳、騎自行車等特別易於消耗熱量的運動。,減肥塑身,5,2,0,END
這段時間的體能和接受能力都是一流的，不去運動簡直是浪費，可以去嘗試各種自己感興趣的有氧運動。,減肥塑身,5,2,0,END
因為此時特別容易發胖，要儘量減少對高熱量、高脂肪食物的攝取。,減肥塑身,6,2,0,END
可以多吃一些有利於消化及代謝的食物，如冬瓜、芹菜、涼瓜等。,減肥塑身,5,2,0,END
運動時間建議可以保持在一周6個小時以上。,減肥塑身,5,3,0,END
跑步、有氧運動以及一些重量訓量可以幫助你在這段時間內消耗熱量。,減肥塑身,5,3,0,END
為了下次月經來臨做準備，增加鐵質和蛋白質的攝取量。,減肥塑身,5,3,0,END
多吃高纖維食物，如蔬菜、水果、全穀類、全麥麵、糙米、燕麥等食物。攝入足夠的高纖維食物，可增加血液中鎂的含量。,減肥塑身,5,4,0,END
此階段可以繼續進行一些有氧運動，同時還需要一些重量訓練，運動時間可保持在每週3小時左右。,減肥塑身,5,4,0,END
月經來潮前一周的飲食宜清淡，易消化，富營養，同時攝取足夠的蛋白質。多吃肉類、蛋、豆腐、黃豆等高蛋白食物，以補充經期所流失的營養素、礦物質。,減肥塑身,5,4,0,END
這個時期你會感覺自己食欲大增，此時無需刻意節食，只要記住不吃零食及油炸食品，睡前不吃夜宵就可以了。,減肥塑身,5,4,0,END
多吃綠葉蔬菜和水果，也要多飲水，以保持排泄通暢，減少骨盆充血。,減肥塑身,5,4,0,END
在此階段的後幾天，可多吃一些開胃、易消化的食物，如棗、麵條、薏米粥等。,減肥塑身,5,4,0,END
忌食鹹食，以免體內的鹽分和水分貯存量增多，出現水腫、頭痛等現象。,減肥塑身,5,4,0,END
忌食鹹食，以免體內的鹽分和水分貯存量增多，出現水腫、頭痛等現象。,日常保健,5,4,0,END
不要熬夜，最好在11點前入睡，肝臟才有時間可以自我修復。,日常保健,0,0,0,END
